# scout01 구동감시 오탐 자력회복 건 — 후진 재시도로 9초 만에 해제 (10 Hz)
# t_wall_s 는 참값 기록 시작 기준. gt=gz 참값, est=map→base_link TF.
t_wall_s,t_sim_s,gt_x,gt_y,gt_yaw_deg,est_x,est_y,est_yaw_deg,err_x,err_y,err_yaw_deg
2336.859,10161.500,-59.7256,40.5836,92.013,-59.5415,40.5678,90.005,0.1841,-0.0158,-2.009
2337.149,10161.600,-59.7266,40.6116,92.012,-59.5415,40.5958,90.004,0.1851,-0.0158,-2.008
2337.459,10161.700,-59.7276,40.6395,92.012,-59.5415,40.6238,90.004,0.1861,-0.0157,-2.008
2337.767,10161.800,-59.7286,40.6675,92.012,-59.5415,40.6518,90.004,0.1871,-0.0157,-2.008
2338.109,10161.900,-59.7296,40.6955,92.014,-59.5415,40.6798,90.005,0.1881,-0.0157,-2.009
2338.441,10162.000,-59.7306,40.7234,92.015,-59.5415,40.7078,90.006,0.1891,-0.0156,-2.009
2338.722,10162.100,-59.7316,40.7514,92.015,-59.5415,40.7358,90.007,0.1901,-0.0156,-2.008
2338.995,10162.200,-59.7326,40.7794,92.015,-59.5415,40.7638,90.007,0.1911,-0.0156,-2.008
2339.283,10162.300,-59.7336,40.8074,92.014,-59.5415,40.7918,90.006,0.1920,-0.0156,-2.008
2339.578,10162.400,-59.7346,40.8353,92.014,-59.5415,40.8198,90.005,0.1930,-0.0155,-2.008
2339.887,10162.500,-59.7355,40.8633,92.013,-59.5415,40.8512,90.005,0.1940,-0.0122,-2.008
2340.174,10162.600,-59.7365,40.8913,92.013,-59.5415,40.8758,90.005,0.1950,-0.0155,-2.008
2340.482,10162.700,-59.7375,40.9193,92.012,-59.5415,40.9038,90.004,0.1959,-0.0155,-2.008
2340.777,10162.800,-59.7385,40.9472,92.012,-59.5415,40.9318,90.004,0.1969,-0.0155,-2.008
2341.051,10162.900,-59.7395,40.9752,92.014,-59.5415,40.9598,90.005,0.1979,-0.0154,-2.009
2341.331,10163.000,-59.7404,41.0032,92.013,-59.5415,40.9878,90.005,0.1989,-0.0154,-2.008
2341.629,10163.100,-59.7414,41.0312,92.014,-59.5415,41.0158,90.005,0.1998,-0.0154,-2.008
2341.926,10163.200,-59.7423,41.0591,92.013,-59.5416,41.0438,90.005,0.2008,-0.0153,-2.008
2342.230,10163.300,-59.7432,41.0871,92.013,-59.5416,41.0718,90.005,0.2017,-0.0153,-2.008
2342.569,10163.400,-59.7441,41.1151,92.013,-59.5416,41.0998,90.005,0.2026,-0.0153,-2.008
2342.894,10163.500,-59.7451,41.1430,92.013,-59.5416,41.1278,90.005,0.2035,-0.0153,-2.008
2343.189,10163.600,-59.7460,41.1710,92.012,-59.5416,41.1558,90.004,0.2045,-0.0152,-2.008
2343.501,10163.700,-59.7470,41.1990,92.010,-59.5416,41.1838,90.002,0.2055,-0.0152,-2.008
2343.819,10163.800,-59.7480,41.2269,92.008,-59.5416,41.2118,90.000,0.2064,-0.0152,-2.008
2344.088,10163.900,-59.7490,41.2549,92.006,-59.5416,41.2398,89.997,0.2074,-0.0151,-2.008
2344.383,10164.000,-59.7500,41.2829,92.005,-59.5416,41.2678,89.997,0.2084,-0.0151,-2.008
2344.638,10164.100,-59.7510,41.3108,92.004,-59.5416,41.2958,89.996,0.2094,-0.0150,-2.009
2344.944,10164.200,-59.7520,41.3387,92.002,-59.5416,41.3238,89.994,0.2105,-0.0149,-2.008
2345.231,10164.300,-59.7530,41.3667,92.002,-59.5416,41.3518,89.993,0.2115,-0.0149,-2.008
2345.556,10164.400,-59.7540,41.3946,92.002,-59.5415,41.3798,89.994,0.2125,-0.0149,-2.008
2345.857,10164.500,-59.7550,41.4226,92.004,-59.5415,41.4078,89.995,0.2135,-0.0148,-2.009
2346.156,10164.600,-59.7560,41.4506,92.006,-59.5415,41.4358,89.997,0.2144,-0.0148,-2.008
2346.462,10164.700,-59.7569,41.4785,92.007,-59.5415,41.4638,89.998,0.2154,-0.0148,-2.009
2346.762,10164.800,-59.7578,41.5065,92.009,-59.5415,41.4918,90.000,0.2163,-0.0148,-2.009
2347.040,10164.900,-59.7588,41.5345,92.010,-59.5415,41.5198,90.001,0.2172,-0.0148,-2.009
2347.345,10165.000,-59.7597,41.5625,92.014,-59.5415,41.5477,90.004,0.2181,-0.0147,-2.009
2347.650,10165.100,-59.7606,41.5905,92.014,-59.5415,41.5757,90.005,0.2191,-0.0147,-2.009
2347.965,10165.200,-59.7616,41.6184,92.014,-59.5416,41.6071,90.005,0.2201,-0.0113,-2.009
2348.267,10165.300,-59.7626,41.6464,92.016,-59.5416,41.6317,90.007,0.2211,-0.0146,-2.009
2348.535,10165.400,-59.7636,41.6743,92.017,-59.5416,41.6597,90.008,0.2221,-0.0146,-2.009
2348.824,10165.500,-59.7646,41.7022,92.014,-59.5416,41.6877,90.006,0.2230,-0.0145,-2.008
2349.112,10165.600,-59.7656,41.7302,92.013,-59.5416,41.7157,90.005,0.2240,-0.0145,-2.008
2349.390,10165.700,-59.7666,41.7582,92.010,-59.5416,41.7437,90.002,0.2250,-0.0144,-2.008
2349.684,10165.800,-59.7676,41.7862,92.006,-59.5416,41.7717,89.999,0.2260,-0.0144,-2.006
2350.014,10165.900,-59.7685,41.8142,92.007,-59.5416,41.7997,89.998,0.2270,-0.0144,-2.008
2350.310,10166.000,-59.7695,41.8421,92.006,-59.5416,41.8277,89.997,0.2279,-0.0144,-2.008
2350.599,10166.100,-59.7705,41.8701,92.006,-59.5416,41.8557,89.998,0.2289,-0.0144,-2.008
2350.895,10166.200,-59.7714,41.8981,92.004,-59.5416,41.8837,89.997,0.2299,-0.0143,-2.008
2351.199,10166.300,-59.7724,41.9260,92.004,-59.5416,41.9117,89.996,0.2308,-0.0143,-2.008
2351.522,10166.400,-59.7734,41.9540,92.002,-59.5416,41.9397,89.993,0.2319,-0.0143,-2.009
2351.827,10166.500,-59.7744,41.9820,91.998,-59.5416,41.9677,89.990,0.2329,-0.0143,-2.008
2352.133,10166.600,-59.7754,42.0099,91.995,-59.5415,41.9957,89.987,0.2338,-0.0142,-2.009
2352.455,10166.700,-59.7764,42.0379,91.996,-59.5415,42.0237,89.988,0.2348,-0.0142,-2.008
2352.738,10166.800,-59.7773,42.0659,91.996,-59.5415,42.0517,89.989,0.2358,-0.0142,-2.008
2353.050,10166.900,-59.7783,42.0939,91.999,-59.5415,42.0797,89.990,0.2368,-0.0142,-2.009
2353.320,10167.000,-59.7793,42.1218,92.003,-59.5415,42.1077,89.994,0.2377,-0.0141,-2.009
2353.600,10167.100,-59.7802,42.1498,92.006,-59.5415,42.1357,89.997,0.2387,-0.0141,-2.009
2353.896,10167.200,-59.7812,42.1778,92.006,-59.5415,42.1637,89.998,0.2397,-0.0141,-2.008
2354.211,10167.300,-59.7822,42.2058,92.004,-59.5415,42.1917,89.997,0.2407,-0.0141,-2.008
2354.498,10167.400,-59.7832,42.2337,92.005,-59.5415,42.2197,89.997,0.2417,-0.0141,-2.009
2354.752,10167.500,-59.7842,42.2617,92.009,-59.5415,42.2477,90.000,0.2427,-0.0140,-2.009
2355.051,10167.600,-59.7852,42.2897,92.010,-59.5415,42.2757,90.001,0.2437,-0.0140,-2.008
2355.332,10167.700,-59.7861,42.3177,92.011,-59.5415,42.3037,90.003,0.2446,-0.0140,-2.008
2355.617,10167.800,-59.7871,42.3457,92.011,-59.5415,42.3317,90.003,0.2456,-0.0140,-2.008
2355.907,10167.900,-59.7880,42.3736,92.011,-59.5415,42.3597,90.003,0.2465,-0.0140,-2.008
2356.223,10168.000,-59.7890,42.4016,92.011,-59.5415,42.3877,90.003,0.2475,-0.0139,-2.008
2356.503,10168.100,-59.7900,42.4296,92.012,-59.5415,42.4157,90.003,0.2484,-0.0139,-2.008
2356.798,10168.200,-59.7910,42.4575,92.011,-59.5415,42.4437,90.004,0.2494,-0.0138,-2.008
2357.080,10168.300,-59.7919,42.4854,92.012,-59.5415,42.4717,90.003,0.2504,-0.0137,-2.009
2357.371,10168.400,-59.7928,42.5133,92.009,-59.5415,42.4997,90.002,0.2513,-0.0136,-2.008
2357.668,10168.500,-59.7938,42.5413,92.010,-59.5415,42.5277,90.001,0.2523,-0.0136,-2.009
2357.962,10168.600,-59.7948,42.5692,92.010,-59.5415,42.5557,90.002,0.2532,-0.0136,-2.008
2358.259,10168.700,-59.7957,42.5972,92.011,-59.5415,42.5837,90.003,0.2542,-0.0135,-2.008
2358.538,10168.800,-59.7967,42.6252,92.012,-59.5415,42.6117,90.004,0.2551,-0.0135,-2.009
2358.829,10168.900,-59.7977,42.6531,92.011,-59.5415,42.6397,90.004,0.2562,-0.0134,-2.008
2359.115,10169.000,-59.7987,42.6810,92.011,-59.5415,42.6677,90.003,0.2572,-0.0134,-2.008
2359.400,10169.100,-59.7997,42.7090,92.011,-59.5415,42.6957,90.003,0.2582,-0.0133,-2.009
2359.690,10169.200,-59.8007,42.7370,92.011,-59.5415,42.7237,90.003,0.2592,-0.0133,-2.009
2359.993,10169.300,-59.8017,42.7650,92.011,-59.5415,42.7517,90.003,0.2602,-0.0133,-2.009
2360.318,10169.400,-59.8027,42.7930,92.011,-59.5415,42.7797,90.003,0.2612,-0.0133,-2.009
2360.630,10169.500,-59.8037,42.8209,92.011,-59.5415,42.8077,90.003,0.2621,-0.0133,-2.008
2360.914,10169.600,-59.8047,42.8489,92.011,-59.5415,42.8357,90.003,0.2631,-0.0132,-2.008
2361.223,10169.700,-59.8056,42.8769,92.010,-59.5415,42.8637,90.002,0.2641,-0.0132,-2.008
2361.510,10169.800,-59.8067,42.9049,92.007,-59.5415,42.8917,90.000,0.2651,-0.0132,-2.008
2361.834,10169.900,-59.8077,42.9328,92.007,-59.5415,42.9197,89.997,0.2661,-0.0132,-2.009
2362.145,10170.000,-59.8087,42.9608,92.007,-59.5415,42.9477,89.999,0.2672,-0.0132,-2.009
2362.471,10170.100,-59.8097,42.9888,92.008,-59.5415,42.9757,89.999,0.2682,-0.0132,-2.009
2362.754,10170.200,-59.8107,43.0168,92.007,-59.5415,43.0037,89.999,0.2691,-0.0131,-2.008
2363.062,10170.300,-59.8116,43.0448,92.007,-59.5415,43.0317,89.999,0.2701,-0.0131,-2.008
2363.361,10170.400,-59.8125,43.0728,92.007,-59.5415,43.0597,89.999,0.2710,-0.0131,-2.008
2363.661,10170.500,-59.8135,43.1007,92.007,-59.5415,43.0877,89.999,0.2720,-0.0131,-2.008
2363.946,10170.600,-59.8144,43.1287,92.007,-59.5415,43.1157,90.000,0.2729,-0.0131,-2.008
2364.232,10170.700,-59.8154,43.1567,92.005,-59.5415,43.1436,89.997,0.2738,-0.0130,-2.008
2364.553,10170.800,-59.8163,43.1846,92.004,-59.5415,43.1716,89.996,0.2748,-0.0130,-2.008
2364.859,10170.900,-59.8173,43.2126,92.001,-59.5415,43.1996,89.993,0.2758,-0.0130,-2.008
2365.151,10171.000,-59.8183,43.2406,91.998,-59.5415,43.2276,89.990,0.2768,-0.0129,-2.008
2365.456,10171.100,-59.8193,43.2685,91.996,-59.5415,43.2556,89.988,0.2777,-0.0129,-2.008
2365.746,10171.200,-59.8202,43.2965,91.996,-59.5415,43.2836,89.988,0.2787,-0.0129,-2.008
2366.020,10171.300,-59.8213,43.3244,91.996,-59.5415,43.3116,89.988,0.2797,-0.0128,-2.009
2366.297,10171.400,-59.8222,43.3524,91.997,-59.5415,43.3396,89.989,0.2807,-0.0127,-2.008
2366.644,10171.500,-59.8233,43.3803,91.997,-59.5415,43.3676,89.988,0.2818,-0.0127,-2.009
2366.926,10171.600,-59.8243,43.4082,91.998,-59.5415,43.3956,89.990,0.2828,-0.0126,-2.008
